Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Diabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Município
Período:2012
"Município";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
"260005 Abreu e Lima";2;1;19
"260010 Afogados da Ingazeira";-;13;10
"260030 Agrestina";5;5;50
"260050 Águas Belas";1;6;39
"260060 Alagoinha";-;-;3
"260105 Araçoiaba";7;2;72
"260110 Araripina";7;10;99
"260120 Arcoverde";-;-;4
"260140 Barreiros";-;-;2
"260170 Belo Jardim";5;22;113
"260190 Bezerros";11;17;104
"260210 Bom Conselho";-;7;18
"260230 Bonito";7;30;140
"260240 Brejão";-;-;6
"260250 Brejinho";2;4;10
"260280 Buíque";2;8;100
"260290 Cabo de Santo Agostinho";2;3;41
"260300 Cabrobó";7;12;75
"260310 Cachoeirinha";5;5;25
"260320 Caetés";1;1;4
"260330 Calçado";-;1;2
"260340 Calumbi";2;-;-
"260380 Capoeiras";1;2;9
"260390 Carnaíba";1;15;26
"260410 Caruaru";32;78;394
"260415 Casinhas";2;3;31
"260450 Chã Grande";-;-;1
"260460 Condado";5;10;55
"260470 Correntes";-;1;9
"260490 Cumaru";2;4;26
"260515 Dormentes";-;-;1
"260530 Exu";6;10;63
"260550 Ferreiros";6;18;148
"260590 Gameleira";2;4;31
"260600 Garanhuns";13;8;118
"260630 Granito";1;-;10
"260640 Gravatá";2;10;84
"260650 Iati";2;-;1
"260660 Ibimirim";2;6;24
"260670 Ibirajuba";8;10;50
"260710 Ingazeira";3;4;11
"260720 Ipojuca";6;28;172
"260770 Itapetim";-;-;4
"260780 Itaquitinga";2;4;13
"260790 Jaboatão dos Guararapes";1;18;128
"260795 Jaqueira";-;13;25
"260800 Jataúba";1;-;1
"260810 João Alfredo";1;2;3
"260850 Lagoa de Itaenga";-;1;8
"260860 Lagoa do Ouro";3;9;11
"260870 Lagoa dos Gatos";6;3;8
"260875 Lagoa Grande";4;7;24
"260880 Lajedo";1;2;25
"260890 Limoeiro";6;22;188
"260940 Moreno";2;11;76
"260990 Ouricuri";-;1;4
"261000 Palmares";5;8;45
"261010 Palmeirina";2;1;19
"261020 Panelas";2;12;91
"261050 Passira";8;20;131
"261060 Paudalho";1;1;3
"261080 Pedra";-;1;4
"261090 Pesqueira";-;1;24
"261100 Petrolândia";3;4;15
"261110 Petrolina";18;89;245
"261130 Pombos";11;5;51
"261153 Quixaba";-;2;10
"261170 Riacho das Almas";2;16;60
"261180 Ribeirão";-;6;15
"261200 Sairé";4;7;48
"261220 Salgueiro";16;15;170
"261240 Sanharó";10;9;49
"261245 Santa Cruz";-;4;7
"261247 Santa Cruz da Baixa Verde";2;2;8
"261250 Santa Cruz do Capibaribe";3;6;89
"261255 Santa Filomena";6;6;40
"261280 Santa Terezinha";-;-;1
"261310 São Caitano";6;43;67
"261320 São João";-;-;9
"261400 Serrita";-;-;1
"261440 Solidão";1;5;2
"261450 Surubim";-;-;2
"261500 Taquaritinga do Norte";4;2;44
"261510 Terezinha";1;3;49
"261530 Timbaúba";14;12;66
"261610 Verdejante";-;-;2
"261620 Vertentes";5;10;61
"261630 Vicência";4;1;24
"Total";315;742;4170
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
