 Óbitos por causas evitáveis em menores de 5 anos - Pernambuco
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"260005 ABREU E LIMA";19
"260010 AFOGADOS DA INGAZEIRA";7
"260020 AFRANIO";9
"260030 AGRESTINA";7
"260040 AGUA PRETA";6
"260050 AGUAS BELAS";12
"260070 ALIANCA";6
"260080 ALTINHO";3
"260090 AMARAJI";1
"260100 ANGELIM";3
"260105 ARACOIABA";2
"260110 ARARIPINA";40
"260120 ARCOVERDE";19
"260130 BARRA DE GUABIRABA";1
"260140 BARREIROS";14
"260150 BELEM DE MARIA";3
"260160 BELEM DE SAO FRANCISCO";5
"260170 BELO JARDIM";22
"260180 BETANIA";4
"260190 BEZERROS";10
"260200 BODOCO";16
"260210 BOM CONSELHO";13
"260220 BOM JARDIM";8
"260230 BONITO";6
"260240 BREJAO";2
"260260 BREJO DA MADRE DE DEUS";13
"260280 BUIQUE";23
"260290 CABO DE SANTO AGOSTINHO";42
"260300 CABROBO";9
"260310 CACHOEIRINHA";4
"260320 CAETES";8
"260345 CAMARAGIBE";30
"260350 CAMOCIM DE SAO FELIX";2
"260370 CANHOTINHO";4
"260380 CAPOEIRAS";2
"260390 CARNAIBA";3
"260392 CARNAUBEIRA DA PENHA";5
"260400 CARPINA";19
"260410 CARUARU";72
"260415 CASINHAS";2
"260420 CATENDE";9
"260430 CEDRO";3
"260440 CHA DE ALEGRIA";4
"260450 CHA GRANDE";4
"260460 CONDADO";3
"260470 CORRENTES";4
"260480 CORTES";2
"260490 CUMARU";3
"260500 CUPIRA";6
"260510 CUSTODIA";8
"260515 DORMENTES";5
"260520 ESCADA";15
"260530 EXU";5
"260540 FEIRA NOVA";5
"260545 FERNANDO DE NORONHA";1
"260550 FERREIROS";1
"260560 FLORES";3
"260570 FLORESTA";12
"260580 FREI MIGUELINHO";5
"260590 GAMELEIRA";6
"260600 GARANHUNS";36
"260610 GLORIA DO GOITA";5
"260620 GOIANA";16
"260630 GRANITO";1
"260640 GRAVATA";13
"260650 IATI";6
"260660 IBIMIRIM";4
"260670 IBIRAJUBA";1
"260680 IGARASSU";24
"260690 IGUARACY";1
"260700 INAJA";6
"260710 INGAZEIRA";1
"260720 IPOJUCA";23
"260730 IPUBI";13
"260740 ITACURUBA";1
"260750 ITAIBA";7
"260760 ILHA DE ITAMARACA";7
"260765 ITAMBE";6
"260770 ITAPETIM";1
"260775 ITAPISSUMA";4
"260780 ITAQUITINGA";2
"260790 JABOATAO DOS GUARARAPES";130
"260795 JAQUEIRA";4
"260800 JATAUBA";3
"260805 JATOBA";6
"260810 JOAO ALFREDO";6
"260820 JOAQUIM NABUCO";3
"260825 JUCATI";3
"260830 JUPI";9
"260840 JUREMA";2
