 Nascidos vivos - Pernambuco
Nascim p/resid.mãe por Município e Ano do nascimento
Período:2018-2020
"Município";"2018";"2019";"2020";"Total"
"260005 ABREU E LIMA";1490;1352;1291;4133
"260010 AFOGADOS DA INGAZEIRA";623;586;609;1818
"260020 AFRANIO";268;254;253;775
"260030 AGRESTINA";351;325;346;1022
"260040 AGUA PRETA";451;425;395;1271
"260050 AGUAS BELAS";780;768;679;2227
"260060 ALAGOINHA";199;190;227;616
"260070 ALIANCA";532;520;498;1550
"260080 ALTINHO";245;247;264;756
"260090 AMARAJI";294;261;272;827
"260100 ANGELIM";150;143;137;430
"260105 ARACOIABA";299;318;288;905
"260110 ARARIPINA";1639;1632;1558;4829
"260120 ARCOVERDE";1161;1177;1186;3524
"260130 BARRA DE GUABIRABA";182;198;161;541
"260140 BARREIROS";710;661;635;2006
"260150 BELEM DE MARIA";158;151;150;459
"260160 BELEM DE SAO FRANCISCO";316;304;297;917
"260170 BELO JARDIM";1254;1229;1142;3625
"260180 BETANIA";196;152;178;526
"260190 BEZERROS";783;771;801;2355
"260200 BODOCO";578;520;532;1630
"260210 BOM CONSELHO";505;412;429;1346
"260220 BOM JARDIM";452;455;477;1384
"260230 BONITO";618;595;599;1812
"260240 BREJAO";160;171;174;505
"260250 BREJINHO";112;112;102;326
"260260 BREJO DA MADRE DE DEUS";735;755;735;2225
"260270 BUENOS AIRES";198;187;178;563
"260280 BUIQUE";890;850;821;2561
"260290 CABO DE SANTO AGOSTINHO";3128;2952;2884;8964
"260300 CABROBO";546;509;462;1517
"260310 CACHOEIRINHA";294;312;273;879
"260320 CAETES";414;437;378;1229
"260330 CALCADO";130;129;122;381
"260340 CALUMBI";71;77;69;217
"260345 CAMARAGIBE";2191;2146;2205;6542
"260350 CAMOCIM DE SAO FELIX";189;248;223;660
"260360 CAMUTANGA";133;121;93;347
"260370 CANHOTINHO";351;331;340;1022
"260380 CAPOEIRAS";244;275;293;812
"260390 CARNAIBA";260;286;278;824
"260392 CARNAUBEIRA DA PENHA";278;249;252;779
"260400 CARPINA";1007;1018;1005;3030
"260410 CARUARU";5962;6031;5850;17843
"260415 CASINHAS";213;177;187;577
"260420 CATENDE";526;462;466;1454
"260430 CEDRO";169;165;139;473
"260440 CHA DE ALEGRIA";196;243;201;640
"260450 CHA GRANDE";341;307;295;943
"260460 CONDADO";373;370;342;1085
"260470 CORRENTES";240;221;205;666
"260480 CORTES";196;160;147;503
"260490 CUMARU";167;183;155;505
"260500 CUPIRA";339;320;363;1022
"260510 CUSTODIA";529;461;523;1513
"260515 DORMENTES";252;250;260;762
"260520 ESCADA";910;870;809;2589
"260530 EXU";532;511;439;1482
"260540 FEIRA NOVA";319;316;321;956
"260545 FERNANDO DE NORONHA";24;32;33;89
"260550 FERREIROS";124;149;123;396
"260560 FLORES";234;269;265;768
"260570 FLORESTA";515;485;492;1492
"260580 FREI MIGUELINHO";166;157;111;434
"260590 GAMELEIRA";312;267;285;864
"260600 GARANHUNS";2313;2268;2193;6774
"260610 GLORIA DO GOITA";415;364;382;1161
"260620 GOIANA";1216;1146;1143;3505
"260630 GRANITO";126;108;108;342
"260640 GRAVATA";1140;1137;974;3251
"260650 IATI";324;270;330;924
"260660 IBIMIRIM";456;441;437;1334
"260670 IBIRAJUBA";99;102;96;297
"260680 IGARASSU";1631;1569;1535;4735
"260690 IGUARACY";130;129;137;396
"260700 INAJA";380;330;361;1071
"260710 INGAZEIRA";65;74;54;193
"260720 IPOJUCA";1800;1731;1759;5290
"260730 IPUBI";503;542;574;1619
"260740 ITACURUBA";72;68;88;228
"260750 ITAIBA";401;359;330;1090
"260760 ILHA DE ITAMARACA";328;331;290;949
"260765 ITAMBE";437;378;394;1209
"260770 ITAPETIM";202;177;180;559
"260775 ITAPISSUMA";375;364;358;1097
"260780 ITAQUITINGA";242;231;201;674
"260790 JABOATAO DOS GUARARAPES";9688;9235;8697;27620
"260795 JAQUEIRA";180;161;172;513
"260800 JATAUBA";235;250;227;712
"260805 JATOBA";198;212;201;611
"260810 JOAO ALFREDO";373;321;317;1011
"260820 JOAQUIM NABUCO";208;202;215;625
"260825 JUCATI";175;199;172;546
"260830 JUPI";302;277;276;855
"260840 JUREMA";243;209;198;650
"260845 LAGOA DO CARRO";251;232;232;715
"260850 LAGOA DE ITAENGA";316;308;324;948
"260860 LAGOA DO OURO";186;172;161;519
"260870 LAGOA DOS GATOS";216;200;208;624
"260875 LAGOA GRANDE";397;387;372;1156
"260880 LAJEDO";685;652;654;1991
"260890 LIMOEIRO";769;743;701;2213
"260900 MACAPARANA";393;360;347;1100
"260910 MACHADOS";196;205;182;583
"260915 MANARI";284;270;287;841
"260920 MARAIAL";247;223;165;635
"260930 MIRANDIBA";256;260;240;756
"260940 MORENO";788;764;716;2268
"260950 NAZARE DA MATA";425;403;417;1245
"260960 OLINDA";5493;5258;4849;15600
"260970 OROBO";293;265;259;817
"260980 OROCO";240;288;279;807
"260990 OURICURI";1123;1108;1058;3289
"261000 PALMARES";1033;1074;851;2958
"261010 PALMEIRINA";104;101;98;303
"261020 PANELAS";369;324;312;1005
"261030 PARANATAMA";240;201;194;635
"261040 PARNAMIRIM";308;304;297;909
"261050 PASSIRA";394;376;396;1166
"261060 PAUDALHO";862;825;865;2552
"261070 PAULISTA";4139;3930;3898;11967
"261080 PEDRA";304;329;332;965
"261090 PESQUEIRA";939;931;927;2797
"261100 PETROLANDIA";714;702;661;2077
"261110 PETROLINA";6578;6420;6205;19203
"261120 POCAO";158;139;164;461
"261130 POMBOS";401;411;377;1189
"261140 PRIMAVERA";150;174;170;494
"261150 QUIPAPA";294;280;239;813
"261153 QUIXABA";106;105;111;322
"261160 RECIFE";22212;21132;19547;62891
"261170 RIACHO DAS ALMAS";374;310;348;1032
"261180 RIBEIRAO";471;474;457;1402
"261190 RIO FORMOSO";373;327;326;1026
"261200 SAIRE";110;127;132;369
"261210 SALGADINHO";64;67;74;205
"261220 SALGUEIRO";1009;1042;1028;3079
"261230 SALOA";231;189;186;606
"261240 SANHARO";269;285;295;849
"261245 SANTA CRUZ";228;250;213;691
"261247 SANTA CRUZ DA BAIXA VERDE";186;204;155;545
"261250 SANTA CRUZ DO CAPIBARIBE";1512;1355;1366;4233
"261255 SANTA FILOMENA";203;197;169;569
"261260 SANTA MARIA DA BOA VISTA";723;710;709;2142
"261270 SANTA MARIA DO CAMBUCA";204;215;199;618
"261280 SANTA TEREZINHA";154;140;103;397
"261290 SAO BENEDITO DO SUL";138;144;156;438
"261300 SAO BENTO DO UNA";760;746;795;2301
"261310 SAO CAITANO";527;594;513;1634
"261320 SAO JOAO";358;354;319;1031
"261330 SAO JOAQUIM DO MONTE";350;275;306;931
"261340 SAO JOSE DA COROA GRANDE";330;302;271;903
"261350 SAO JOSE DO BELMONTE";554;513;527;1594
"261360 SAO JOSE DO EGITO";454;416;400;1270
"261370 SAO LOURENCO DA MATA";1563;1571;1520;4654
"261380 SAO VICENTE FERRER";303;261;251;815
"261390 SERRA TALHADA";1612;1525;1524;4661
"261400 SERRITA";295;246;269;810
"261410 SERTANIA";427;422;450;1299
"261420 SIRINHAEM";587;575;556;1718
"261430 MOREILANDIA";143;159;119;421
"261440 SOLIDAO";82;82;97;261
"261450 SURUBIM";925;879;861;2665
"261460 TABIRA";468;464;426;1358
"261470 TACAIMBO";168;176;191;535
"261480 TACARATU";368;317;302;987
"261485 TAMANDARE";368;426;416;1210
"261500 TAQUARITINGA DO NORTE";420;360;348;1128
"261510 TEREZINHA";101;134;87;322
"261520 TERRA NOVA";135;146;112;393
"261530 TIMBAUBA";698;670;634;2002
"261540 TORITAMA";674;704;710;2088
"261550 TRACUNHAEM";193;187;203;583
"261560 TRINDADE";562;570;594;1726
"261570 TRIUNFO";179;191;175;545
"261580 TUPANATINGA";377;347;296;1020
"261590 TUPARETAMA";102;123;134;359
"261600 VENTUROSA";285;286;262;833
"261610 VERDEJANTE";143;136;145;424
"261618 VERTENTE DO LERIO";112;103;114;329
"261620 VERTENTES";361;290;300;951
"261630 VICENCIA";437;387;389;1213
"261640 VITORIA DE SANTO ANTAO";2059;1901;1929;5889
"261650 XEXEU";232;214;213;659
"Total";138285;133346;128470;400101
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
