 População Residente - Estimativas para o TCU - Pernambuco
População estimada por Município e Ano
Período:2018-2020
"Município";"2018";"2019"
"260005 ABREU E LIMA";99622;99990
"260010 AFOGADOS DA INGAZEIRA";37111;37259
"260020 AFRANIO";19456;19635
"260030 AGRESTINA";24702;24885
"260040 AGUA PRETA";36454;36771
"260050 AGUAS BELAS";43195;43443
"260060 ALAGOINHA";14554;14636
"260070 ALIANCA";38375;38386
"260080 ALTINHO";22959;22972
"260090 AMARAJI";22788;22829
"260100 ANGELIM";11072;11150
"260105 ARACOIABA";20312;20524
"260110 ARARIPINA";83964;84418
"260120 ARCOVERDE";73844;74338
"260130 BARRA DE GUABIRABA";14257;14385
"260140 BARREIROS";42552;42659
"260150 BELEM DE MARIA";12023;12073
"260160 BELEM DE SAO FRANCISCO";20728;20729
"260170 BELO JARDIM";76185;76439
"260180 BETANIA";12671;12719
"260190 BEZERROS";60714;60798
"260200 BODOCO";37909;38146
"260210 BOM CONSELHO";48336;48554
"260220 BOM JARDIM";39132;39184
"260230 BONITO";38152;38134
"260240 BREJAO";8999;8993
"260250 BREJINHO";7486;7487
"260260 BREJO DA MADRE DE DEUS";50249;50742
"260270 BUENOS AIRES";13119;13155
"260280 BUIQUE";57825;58378
"260290 CABO DE SANTO AGOSTINHO";205112;207048
"260300 CABROBO";33934;34221
"260310 CACHOEIRINHA";20258;20380
"260320 CAETES";28570;28739
"260330 CALCADO";11089;11053
"260340 CALUMBI";5753;5750
"260345 CAMARAGIBE";156736;157828
"260350 CAMOCIM DE SAO FELIX";18627;18765
"260360 CAMUTANGA";8530;8551
"260370 CANHOTINHO";24835;24804
"260380 CAPOEIRAS";20048;20048
"260390 CARNAIBA";19491;19551
"260392 CARNAUBEIRA DA PENHA";12836;12932
"260400 CARPINA";82872;83641
"260410 CARUARU";356872;361118
"260415 CASINHAS";14313;14341
"260420 CATENDE";42434;42892
"260430 CEDRO";11722;11807
"260440 CHA DE ALEGRIA";13428;13518
"260450 CHA GRANDE";21579;21698
"260460 CONDADO";26249;26421
"260470 CORRENTES";18144;18207
"260480 CORTES";12596;12578
"260490 CUMARU";11635;10906
"260500 CUPIRA";24041;24107
"260510 CUSTODIA";36841;37111
"260515 DORMENTES";18734;18908
"260520 ESCADA";68448;68875
"260530 EXU";31885;31825
"260540 FEIRA NOVA";22013;22131
"260545 FERNANDO DE NORONHA";3021;3061
"260550 FERREIROS";14365;12123
"260560 FLORES";22631;22624
"260570 FLORESTA";32556;32873
"260580 FREI MIGUELINHO";15366;15457
"260590 GAMELEIRA";30780;31052
"260600 GARANHUNS";138983;139788
"260610 GLORIA DO GOITA";30504;30604
"260620 GOIANA";79455;79758
"260630 GRANITO";7435;7486
"260640 GRAVATA";83437;84074
"260650 IATI";19152;19197
"260660 IBIMIRIM";29055;29235
"260670 IBIRAJUBA";7756;7762
"260680 IGARASSU";115640;117019
"260690 IGUARACY";12209;12228
"260700 INAJA";22840;23247
"260710 INGAZEIRA";4554;4548
"260720 IPOJUCA";94709;96204
"260730 IPUBI";30512;30854
"260740 ITACURUBA";4869;4918
"260750 ITAIBA";26390;26349
"260760 ILHA DE ITAMARACA";25836;26258
"260765 ITAMBE";36422;36447
"260770 ITAPETIM";13680;13616
"260775 ITAPISSUMA";26397;26651
"260780 ITAQUITINGA";16903;16955
"260790 JABOATAO DOS GUARARAPES";697636;702298
"260795 JAQUEIRA";11668;11656
"260800 JATAUBA";17070;17150
"260805 JATOBA";14740;14796
"260810 JOAO ALFREDO";33563;33822
"260820 JOAQUIM NABUCO";16036;16023
"260825 JUCATI";11361;11424
"260830 JUPI";14747;14836
"260840 JUREMA";15323;15378
"260845 LAGOA DO CARRO";17886;18071
"260850 LAGOA DE ITAENGA";21397;21429
"260860 LAGOA DO OURO";13065;13145
"260870 LAGOA DOS GATOS";16262;16290
"260875 LAGOA GRANDE";25349;25601
"260880 LAJEDO";39982;40288
"260890 LIMOEIRO";56302;56250
"260900 MACAPARANA";25278;25376
"260910 MACHADOS";15851;16088
"260915 MANARI";21085;21434
"260920 MARAIAL";11473;11345
"260930 MIRANDIBA";15308;15390
"260940 MORENO";62263;62784
"260950 NAZARE DA MATA";32366;32471
"260960 OLINDA";391835;392482
"260970 OROBO";23833;23884
"260980 OROCO";14827;14991
"260990 OURICURI";68939;69459
"261000 PALMARES";62994;63250
"261010 PALMEIRINA";7789;7693
"261020 PANELAS";26492;26474
"261030 PARANATAMA";11478;11523
"261040 PARNAMIRIM";21914;22010
"261050 PASSIRA";28972;28933
"261060 PAUDALHO";56074;56506
"261070 PAULISTA";329117;331774
"261080 PEDRA";22566;22617
"261090 PESQUEIRA";67047;67395
"261100 PETROLANDIA";36187;36548
"261110 PETROLINA";343865;349145
"261120 POCAO";11299;11302
"261130 POMBOS";27033;27091
"261140 PRIMAVERA";14831;14966
"261150 QUIPAPA";25896;26037
"261153 QUIXABA";6822;6813
"261160 RECIFE";1637834;1645727
"261170 RIACHO DAS ALMAS";20443;20546
"261180 RIBEIRAO";47209;47415
"261190 RIO FORMOSO";23440;23535
"261200 SAIRE";10103;9932
"261210 SALGADINHO";10768;10919
"261220 SALGUEIRO";60604;60930
"261230 SALOA";15823;15843
"261240 SANHARO";26026;26462
"261245 SANTA CRUZ";15236;15398
"261247 SANTA CRUZ DA BAIXA VERDE";12531;12592
"261250 SANTA CRUZ DO CAPIBARIBE";105936;107937
"261255 SANTA FILOMENA";14390;14477
"261260 SANTA MARIA DA BOA VISTA";41759;41931
"261270 SANTA MARIA DO CAMBUCA";14048;14137
"261280 SANTA TEREZINHA";11764;11815
"261290 SAO BENEDITO DO SUL";15717;15895
"261300 SAO BENTO DO UNA";58956;59504
"261310 SAO CAITANO";37119;37245
"261320 SAO JOAO";22686;22793
"261330 SAO JOAQUIM DO MONTE";21314;21356
"261340 SAO JOSE DA COROA GRANDE";21004;21298
"261350 SAO JOSE DO BELMONTE";33895;33959
"261360 SAO JOSE DO EGITO";33789;33951
"261370 SAO LOURENCO DA MATA";112362;113230
"261380 SAO VICENTE FERRER";17950;18018
"261390 SERRA TALHADA";85774;86350
"261400 SERRITA";19133;19165
"261410 SERTANIA";35761;35907
"261420 SIRINHAEM";45359;45865
"261430 MOREILANDIA";11270;11270
"261440 SOLIDAO";5993;6007
"261450 SURUBIM";64520;65089
"261460 TABIRA";28371;28534
"261470 TACAIMBO";12890;12874
"261480 TACARATU";25417;25765
"261485 TAMANDARE";23149;23388
